eventid,iyear,imonth,iday,country,country_txt,region_txt,provstate,city,latitude,longitude,location,summary,alternative_txt,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,weaptype1,weaptype1_txt,weapsubtype1_txt,weapdetail,nkill
1.97E+11,1971,8,10,603,United Kingdom,Western Europe,Northern Ireland,Londonderry,55.011562,-7.312045,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Paul Challoner, 23",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,8,11,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Private Citizens & Property,Religion Identified,,"John McKerr, 49, Catholic",Northern Ireland,Unknown,5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,8,11,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Private Citizens & Property,Religion Identified,,"William Stronge, 46, protestant",Northern Ireland,Irish Republican Extremists,5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,8,14,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"John Robinson, 21",Great Britain,Official Irish Republican Army (OIRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,8,25,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"George Crozier, 23",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,8,25,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Bombing/Explosion,Business,,NIES office,"Henry Beggs, 23, Protestant",Northern Ireland,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,8,29,603,United Kingdom,Western Europe,Northern Ireland,Crossmaglen,54.077313,-6.608787,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Ian Armstrong, 33",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,8,30,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Clifford Loring, 18",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,9,3,603,United Kingdom,Western Europe,Northern Ireland,Kinawley,54.22641,-7.649053,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",UDR,"Francis Veitch, 23, Protestant",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,9,3,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,0,0,Assassination,Military,Military Unit/Patrol/Convoy,British Army,Patrol,Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,9,4,603,United Kingdom,Western Europe,Northern Ireland,Newry,54.183052,-6.341388,,,Insurgency/Guerilla Action,1,0,Bombing/Explosion,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"John Warnock, 18",Great Britain,Official Irish Republican Army (OIRA),6,Explosives,Landmine,Land mine,1
1.97E+11,1971,9,9,603,United Kingdom,Western Europe,Northern Ireland,Unknown,54.552254,-6.086832,,,Insurgency/Guerilla Action,1,0,Bombing/Explosion,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"David Stewardson, 29",Great Britain,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,9,13,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,0,0,Bombing/Explosion,Private Citizens & Property,Religion Identified,,"James Finlay, 31, Protestant",Northern Ireland,Protestant extremists,6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,9,13,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,0,0,Bombing/Explosion,Private Citizens & Property,Religion Identified,,"John Thompson, 21, Protestant",Northern Ireland,Protestant extremists,6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,9,14,603,United Kingdom,Western Europe,Northern Ireland,Londonderry,55.011562,-7.312045,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Martin Carroll, 23",Great Britain,Official Irish Republican Army (OIRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,9,14,603,United Kingdom,Western Europe,Northern Ireland,Edendork,54.531707,-6.737144,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"John Rudman, 21",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,9,14,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Paul Carter, 21",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,9,16,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Private Citizens & Property,Religion Identified,,"Samuel Nelson, 46, Protestant",Northern Ireland,Protestant extremists,5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,9,16,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Stephen McGuire, 20",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,9,17,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Peter Herrington, 28",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,9,18,603,United Kingdom,Western Europe,Northern Ireland,Strabane,54.819164,-7.467909,,,,1,0,Assassination,Police,Police Security Forces/Officers,Royal Ulster Constabulary,"Robert Leslie, 20, Protestant",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,9,28,603,United Kingdom,Western Europe,Northern Ireland,Londonderry,55.011562,-7.312045,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Roger Wilkins, 32",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,9,29,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Bombing/Explosion,Business,Hotel/Resort,Four Step Inn,"Alexander Andrews, 60 and Ernest Bates, 38, Protestants",Northern Ireland,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bomb,2
1.97E+11,1971,9,30,603,United Kingdom,Western Europe,Northern Ireland,Londonderry,55.011562,-7.312045,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Robin Alers-Hankey, 35",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,10,1,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Peter Sharpe, 22",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,10,2,603,United Kingdom,Western Europe,Northern Ireland,Lambeg,54.530989,-6.02939,,,,0,0,Bombing/Explosion,Utilities,Electricity,electricity sub-station,"Terence McDermott, 19, Catholic",Northern Ireland,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,10,3,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,Unspecified,Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,10,4,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,British Army observation post,"Brian Hall, 22",Great Britain,Official Irish Republican Army (OIRA),6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,10,9,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Bombing/Explosion,Business,Restaurant/Bar/Cafe,Fiddler's House Bar,"Winifred Maxwell, 45, Protestant",Northern Ireland,Ulster Volunteer Force (UVF),6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,10,15,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Police,Police Security Forces/Officers,Royal Ulster Constabulary,"John Haslett, 21 and Cecil Cunningham, 46, Protestants",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,2
1.97E+11,1971,10,15,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Graham Cox, 35",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,10,16,603,United Kingdom,Western Europe,Northern Ireland,Londonderry,55.011562,-7.312045,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Joseph Hill, 24",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,10,17,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"George Hamilton, 21",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,10,23,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Military,Military Unit/Patrol/Convoy,British Army,Mobile Patrol,Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,10,24,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Bombing/Explosion,Business,Restaurant/Bar/Cafe,Celebrity Club,Unspecified,Northern Ireland,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,10,26,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Private Citizens & Property,Religion Identified,,"Robert McFarland, 26, Protestant",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,10,27,603,United Kingdom,Western Europe,Northern Ireland,Londonderry,55.011562,-7.312045,,,Insurgency/Guerilla Action,1,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,British Army observation post,"David Tilbury, 29 and Angus Stevens, 18",Great Britain,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bomb,2
1.97E+11,1971,10,27,96,Ireland,Western Europe,Dublin,Dublin,53.361675,-6.245485,,,,1,0,Assassination,Private Citizens & Property,Named Civilian,Saor Eire,"Peter Graham, 26",Ireland,Saor Eire (Irish Republican Group),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,11,1,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Police,Police Security Forces/Officers,Royal Ulster Constabulary,"Stanley Corry, 28 and William Russell, 31, Protestants",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,2
1.97E+11,1971,11,2,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Bombing/Explosion,Business,Restaurant/Bar/Cafe,Red Lion Bar and Drapery Shop,"John Cochrane, 67; Mary Gemmell, 55 and William Jordan, 31, Protestants",Northern Ireland,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bombs,3
1.97E+11,1971,11,7,603,United Kingdom,Western Europe,Northern Ireland,Lurgan,54.463367,-6.328597,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Paul Genge, 18",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,11,9,603,United Kingdom,Western Europe,Northern Ireland,Londonderry,55.011562,-7.312045,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Ian Curtis, 23",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,11,11,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Police,Police Security Forces/Officers,Royal Ulster Constabulary,"Dermot Hurley, 50, Catholic and Walter Moore, 37, Protestant",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,2
1.97E+11,1971,11,12,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Maritime,,Dutch Seaman,"Rene Heemskerk, 18",Netherlands,Irish Republican Extremists,5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,11,18,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Edwin Charnley, 22",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,11,24,603,United Kingdom,Western Europe,Northern Ireland,Strabane,54.819164,-7.467909,,,,1,0,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,Unspecified,Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Gunfight,1
1.97E+11,1971,11,24,603,United Kingdom,Western Europe,Northern Ireland,Lurgan,54.463367,-6.328597,,,Insurgency/Guerilla Action,1,0,Bombing/Explosion,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Colin Davies, 38",Great Britain,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,11,27,603,United Kingdom,Western Europe,Northern Ireland,Newry,54.183052,-6.341388,,,Insurgency/Guerilla Action,1,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,Killeen Customs Post,"Ian Hankin, 27, Prot and James O'Neill, 39, Catholic",Northern Ireland,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Sniper; Bomb,2
1.97E+11,1971,11,27,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Paul Nicholls, 18",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,11,28,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Police,Police Patrol (including vehicles and convoys),Royal Ulster Constabulary Foot patrol,"Vivian Gibney, 17, Protestant",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,11,29,603,United Kingdom,Western Europe,Northern Ireland,Crossmaglen,54.077313,-6.608787,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Robert Benner, 25",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,12,4,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Bombing/Explosion,Business,Restaurant/Bar/Cafe,McGurk's Bar,15 Catholics,Northern Ireland,Ulster Volunteer Force (UVF),6,Explosives,Unknown Explosive Type,Bomb,15
1.97E+11,1971,12,4,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Jeremy Snow, 35",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,12,6,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Bombing/Explosion,NGO,International NGO,Salvation Army Citadel building,"Mary Thompson, 61, Protestant",Northern Ireland,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,12,7,603,United Kingdom,Western Europe,Northern Ireland,Caledon,54.351322,-6.837455,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",Ulster Defence Regiment member--off duty,"Denis Wilson, 31, Protestant",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,12,8,603,United Kingdom,Western Europe,Northern Ireland,"Ballymurphy, Belfast",54.607712,-5.95621,,,,1,0,Assassination,Private Citizens & Property,Political Party Member/Rally,Ulster Defence Regiment,"Sean Russell, 30, Catholic",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,12,10,603,United Kingdom,Western Europe,Northern Ireland,Clady,54.794884,-7.537385,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",Ulster Defence Regiment,"Kenneth Smyth, 28, Protestant and Daniel McCormick, 29, Catholic",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,2
1.97E+11,1971,12,11,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Bombing/Explosion,Business,Industrial/Textiles/Factory,Balmoral Furnishing Company,"Harold King, Hugh Bruce, Tracey Munn and Colin Nicholl",Northern Ireland,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bomb,4
